title,company,location,remote_status,salary,currency,salary_period,description,experience,role_label,source,is_demo
Data Engineer,Demo Company 04,"Seattle, WA",on-site,$80k - $105k,USD,annual,"<p>Build reliable data pipelines and maintain warehouse tables.</p> Skills: SQL, Python, Spark, dbt. Work with team 4.",entry,Data Engineer,Fictional demo generated with seed 42,true
Junior Data Engineer,Demo Company 05,,hybrid,$70k - $95k,USD,annual,"<p>Build reliable data pipelines and maintain warehouse tables.</p> Skills: Databricks, dbt, Spark, SQL, Airflow, Python, Snowflake. Work with team 5.",senior,Data Engineer,Fictional demo generated with seed 42,true
Senior Data Engineer,Demo Company 06,,,,USD,annual,"<p>Build reliable data pipelines and maintain warehouse tables.</p> Skills: dbt, Python, Spark, Snowflake. Work with team 6.",senior,Data Engineer,Fictional demo generated with seed 42,true
Data Engineer,Demo Company 07,"New York, NY",remote,$120k - $145k,USD,annual,"<p>Build reliable data pipelines and maintain warehouse tables.</p> Skills: SQL, Snowflake. Work with team 7.",entry,Data Engineer,Fictional demo generated with seed 42,true
Data Engineer,Demo Company 08,,,$125k - $150k,USD,annual,"<p>Build reliable data pipelines and maintain warehouse tables.</p> Skills: Databricks, Python, Spark, Snowflake. Work with team 8.",entry,Data Engineer,Fictional demo generated with seed 42,true
Junior Data Engineer,Demo Company 09,,remote,$75k - $100k,USD,annual,"<p>Build reliable data pipelines and maintain warehouse tables.</p> Skills: SQL, Snowflake. Work with team 9.",senior,Data Engineer,Fictional demo generated with seed 42,true
Senior Data Engineer,Demo Company 10,"Chicago, IL",on-site,$110k - $135k,USD,annual,"<p>Build reliable data pipelines and maintain warehouse tables.</p> Skills: dbt, Python, Airflow, Snowflake, SQL, Databricks. Work with team 10.",mid,Data Engineer,Fictional demo generated with seed 42,true
Data Engineer,Demo Company 11,"Austin, TX",hybrid,,USD,annual,"<p>Build reliable data pipelines and maintain warehouse tables.</p> Skills: Python, Snowflake, SQL, Spark, Airflow, Databricks, dbt. Work with team 11.",,Data Engineer,Fictional demo generated with seed 42,true
Data Engineer,Demo Company 12,"Seattle, WA",hybrid,$105k - $130k,USD,annual,"<p>Build reliable data pipelines and maintain warehouse tables.</p> Skills: Python, Snowflake. Work with team 12.",senior,Data Engineer,Fictional demo generated with seed 42,true
Junior Data Engineer,Demo Company 13,"Chicago, IL",,$115k - $140k,USD,annual,"<p>Build reliable data pipelines and maintain warehouse tables.</p> Skills: Databricks, Snowflake, SQL. Work with team 13.",mid,Data Engineer,Fictional demo generated with seed 42,true
Senior Data Engineer,Demo Company 14,"Austin, TX",hybrid,$100k - $125k,USD,annual,"<p>Build reliable data pipelines and maintain warehouse tables.</p> Skills: Databricks, Airflow, Spark. Work with team 14.",entry,Data Engineer,Fictional demo generated with seed 42,true
Data Engineer,Demo Company 15,"Seattle, WA",on-site,$135k - $160k,USD,annual,"<p>Build reliable data pipelines and maintain warehouse tables.</p> Skills: Python, Airflow, Spark, dbt, SQL, Databricks, Snowflake. Work with team 15.",entry,Data Engineer,Fictional demo generated with seed 42,true
Data Engineer,Demo Company 16,"New York, NY",remote,,USD,annual,"<p>Build reliable data pipelines and maintain warehouse tables.</p> Skills: Spark, Python. Work with team 16.",entry,Data Engineer,Fictional demo generated with seed 42,true
Junior Machine Learning Engineer,Demo Company 01,"Austin, TX",on-site,,USD,annual,"<p>Train machine learning models and monitor prediction services.</p> Skills: Docker, TensorFlow, AWS, PyTorch, Python, Git. Work with team 1.",entry,Machine Learning Engineer,Fictional demo generated with seed 42,true
Senior Machine Learning Engineer,Demo Company 02,"New York, NY",on-site,$65k - $90k,USD,annual,"<p>Train machine learning models and monitor prediction services.</p> Skills: Python, AWS, PyTorch, Docker, TensorFlow. Work with team 2.",entry,Machine Learning Engineer,Fictional demo generated with seed 42,true
Machine Learning Engineer,Demo Company 03,"New York, NY",hybrid,$115k - $140k,USD,annual,"<p>Train machine learning models and monitor prediction services.</p> Skills: AWS, TensorFlow, Docker, PyTorch. Work with team 3.",mid,Machine Learning Engineer,Fictional demo generated with seed 42,true
Machine Learning Engineer,Demo Company 04,,remote,$115k - $140k,USD,annual,"<p>Train machine learning models and monitor prediction services.</p> Skills: Git, Docker, PyTorch, TensorFlow, AWS. Work with team 4.",senior,Machine Learning Engineer,Fictional demo generated with seed 42,true
Junior Machine Learning Engineer,Demo Company 05,"Seattle, WA",hybrid,$125k - $150k,USD,annual,"<p>Train machine learning models and monitor prediction services.</p> Skills: PyTorch, Docker, TensorFlow, Git. Work with team 5.",,Machine Learning Engineer,Fictional demo generated with seed 42,true
Senior Machine Learning Engineer,Demo Company 06,,on-site,,USD,annual,"<p>Train machine learning models and monitor prediction services.</p> Skills: Git, Python, TensorFlow. Work with team 6.",entry,Machine Learning Engineer,Fictional demo generated with seed 42,true
Machine Learning Engineer,Demo Company 07,"Austin, TX",remote,$85k - $110k,USD,annual,"<p>Train machine learning models and monitor prediction services.</p> Skills: Git, TensorFlow, PyTorch. Work with team 7.",entry,Machine Learning Engineer,Fictional demo generated with seed 42,true
Machine Learning Engineer,Demo Company 08,"Seattle, WA",hybrid,$125k - $150k,USD,annual,"<p>Train machine learning models and monitor prediction services.</p> Skills: Docker, AWS, Python. Work with team 8.",,Machine Learning Engineer,Fictional demo generated with seed 42,true
Junior Machine Learning Engineer,Demo Company 09,"Seattle, WA",hybrid,$70k - $95k,USD,annual,"<p>Train machine learning models and monitor prediction services.</p> Skills: Docker, PyTorch, AWS, TensorFlow, Python. Work with team 9.",mid,Machine Learning Engineer,Fictional demo generated with seed 42,true
Senior Machine Learning Engineer,Demo Company 10,,on-site,$125k - $150k,USD,annual,"<p>Train machine learning models and monitor prediction services.</p> Skills: Docker, Python, PyTorch, AWS, Git, TensorFlow. Work with team 10.",,Machine Learning Engineer,Fictional demo generated with seed 42,true
Machine Learning Engineer,Demo Company 11,"Seattle, WA",on-site,,USD,annual,"<p>Train machine learning models and monitor prediction services.</p> Skills: Git, AWS, Docker, TensorFlow, PyTorch, Python. Work with team 11.",mid,Machine Learning Engineer,Fictional demo generated with seed 42,true
Machine Learning Engineer,Demo Company 12,"Chicago, IL",on-site,$125k - $150k,USD,annual,"<p>Train machine learning models and monitor prediction services.</p> Skills: AWS, Docker, PyTorch, Git. Work with team 12.",mid,Machine Learning Engineer,Fictional demo generated with seed 42,true
Junior Machine Learning Engineer,Demo Company 13,"Austin, TX",,$75k - $100k,USD,annual,"<p>Train machine learning models and monitor prediction services.</p> Skills: TensorFlow, Git, Python, Docker. Work with team 13.",mid,Machine Learning Engineer,Fictional demo generated with seed 42,true
Senior Machine Learning Engineer,Demo Company 14,,,$105k - $130k,USD,annual,"<p>Train machine learning models and monitor prediction services.</p> Skills: Python, Docker, AWS. Work with team 14.",,Machine Learning Engineer,Fictional demo generated with seed 42,true
Machine Learning Engineer,Demo Company 15,,remote,$115k - $140k,USD,annual,"<p>Train machine learning models and monitor prediction services.</p> Skills: PyTorch, Docker. Work with team 15.",,Machine Learning Engineer,Fictional demo generated with seed 42,true
Machine Learning Engineer,Demo Company 16,,hybrid,,USD,annual,"<p>Train machine learning models and monitor prediction services.</p> Skills: Python, TensorFlow, AWS, PyTorch, Docker. Work with team 16.",,Machine Learning Engineer,Fictional demo generated with seed 42,true
Junior Business Systems Specialist,Demo Company 01,"Seattle, WA",on-site,,USD,annual,"<p>Support business systems and document operational requirements.</p> Skills: Git, Azure, SQL. Work with team 1.",,Other,Fictional demo generated with seed 42,true
Senior Business Systems Specialist,Demo Company 02,"Chicago, IL",,$140k - $165k,USD,annual,"<p>Support business systems and document operational requirements.</p> Skills: Azure, SQL, Git. Work with team 2.",entry,Other,Fictional demo generated with seed 42,true
Business Systems Specialist,Demo Company 03,"Austin, TX",remote,$125k - $150k,USD,annual,"<p>Support business systems and document operational requirements.</p> Skills: Azure, SQL. Work with team 3.",senior,Other,Fictional demo generated with seed 42,true
Business Systems Specialist,Demo Company 04,"New York, NY",,$115k - $140k,USD,annual,"<p>Support business systems and document operational requirements.</p> Skills: Git, SQL, Azure, GCP, Excel. Work with team 4.",senior,Other,Fictional demo generated with seed 42,true
Junior Business Systems Specialist,Demo Company 05,"Chicago, IL",on-site,$140k - $165k,USD,annual,"<p>Support business systems and document operational requirements.</p> Skills: Azure, Excel. Work with team 5.",mid,Other,Fictional demo generated with seed 42,true
Senior Business Systems Specialist,Demo Company 06,"Austin, TX",remote,,USD,annual,"<p>Support business systems and document operational requirements.</p> Skills: Excel, GCP. Work with team 6.",mid,Other,Fictional demo generated with seed 42,true
Business Systems Specialist,Demo Company 07,,hybrid,$70k - $95k,USD,annual,"<p>Support business systems and document operational requirements.</p> Skills: SQL, Azure, Git. Work with team 7.",,Other,Fictional demo generated with seed 42,true
Business Systems Specialist,Demo Company 08,"New York, NY",remote,$80k - $105k,USD,annual,"<p>Support business systems and document operational requirements.</p> Skills: Git, SQL, GCP, Excel. Work with team 8.",entry,Other,Fictional demo generated with seed 42,true
Junior Business Systems Specialist,Demo Company 09,,hybrid,$65k - $90k,USD,annual,"<p>Support business systems and document operational requirements.</p> Skills: GCP, Azure, SQL, Excel. Work with team 9.",entry,Other,Fictional demo generated with seed 42,true
Senior Business Systems Specialist,Demo Company 10,,,$110k - $135k,USD,annual,"<p>Support business systems and document operational requirements.</p> Skills: GCP, Excel, Git, Azure. Work with team 10.",senior,Other,Fictional demo generated with seed 42,true
Business Systems Specialist,Demo Company 11,"Seattle, WA",,,USD,annual,"<p>Support business systems and document operational requirements.</p> Skills: GCP, Git. Work with team 11.",entry,Other,Fictional demo generated with seed 42,true
Business Systems Specialist,Demo Company 12,,on-site,$80k - $105k,USD,annual,"<p>Support business systems and document operational requirements.</p> Skills: Git, Azure, GCP, Excel, SQL. Work with team 12.",,Other,Fictional demo generated with seed 42,true
Junior Business Systems Specialist,Demo Company 13,"Seattle, WA",hybrid,$95k - $120k,USD,annual,"<p>Support business systems and document operational requirements.</p> Skills: Azure, Git, SQL, Excel, GCP. Work with team 13.",,Other,Fictional demo generated with seed 42,true
Senior Business Systems Specialist,Demo Company 14,"Austin, TX",on-site,$130k - $155k,USD,annual,"<p>Support business systems and document operational requirements.</p> Skills: Git, Excel, SQL, GCP, Azure. Work with team 14.",senior,Other,Fictional demo generated with seed 42,true
Business Systems Specialist,Demo Company 15,"Austin, TX",remote,$135k - $160k,USD,annual,"<p>Support business systems and document operational requirements.</p> Skills: Git, GCP, Azure, Excel. Work with team 15.",mid,Other,Fictional demo generated with seed 42,true
Business Systems Specialist,Demo Company 16,"Chicago, IL",remote,,USD,annual,"<p>Support business systems and document operational requirements.</p> Skills: Azure, SQL, Git, GCP, Excel. Work with team 16.",senior,Other,Fictional demo generated with seed 42,true
Junior Data Analyst,Demo Company 01,"Austin, TX",hybrid,,USD,annual,"<p>Build reports, validate metrics, and explain business trends.</p> Skills: SQL, Tableau. Work with team 1.",entry,Data Analyst,Fictional demo generated with seed 42,true
